No	Time[sec]	VOLT[V]	CURR[A]
802	168	0.8	1.46598e-005
803	169	0.8	1.44244e-005
804	169	0.8	1.4383e-005
805	169	0.8	1.47626e-005
806	169	0.8	1.47537e-005
807	169	0.8	1.45721e-005
808	170	0.8	1.47526e-005
809	170	0.8	1.49085e-005
810	170	0.8	1.47786e-005
811	170	0.8	1.47211e-005
812	170	0.8	1.45927e-005
813	171	0.8	1.45594e-005
814	171	0.8	1.48061e-005
815	171	0.8	1.48134e-005
816	171	0.8	1.47299e-005
817	171	0.8	1.48367e-005
818	172	0.8	1.46065e-005
819	172	0.8	1.45976e-005
820	172	0.8	1.45834e-005
821	172	0.8	1.46723e-005
822	172	0.8	1.4613e-005
823	173	0.8	1.46899e-005
824	173	0.8	1.45535e-005
825	173	0.8	1.47073e-005
826	173	0.8	1.45746e-005
827	173	0.8	1.46974e-005
828	174	0.8	1.45567e-005
829	174	0.8	1.46061e-005
830	174	0.8	1.44373e-005
831	174	0.8	1.45002e-005
832	175	0.8	1.46748e-005
833	175	0.8	1.43772e-005
834	175	0.8	1.44555e-005
835	175	0.8	1.45343e-005
836	175	0.8	1.45094e-005
837	176	0.8	1.44848e-005
838	176	0.8	1.46107e-005
839	176	0.8	1.44861e-005
840	176	0.8	1.4468e-005
841	176	0.8	1.44697e-005
842	177	0.8	1.46155e-005
843	177	0.8	1.43663e-005
844	177	0.8	1.44085e-005
845	177	0.8	1.44716e-005
846	177	0.8	1.44928e-005
847	178	0.8	1.44663e-005
848	178	0.8	1.44184e-005
849	178	0.8	1.45236e-005
850	178	0.85	1.59663e-005
851	178	0.85	1.59971e-005
852	179	0.85	1.63612e-005
853	179	0.85	1.62782e-005
854	179	0.85	1.60105e-005
855	179	0.85	1.58833e-005
856	179	0.85	1.58654e-005
857	180	0.85	1.59023e-005
858	180	0.85	1.60351e-005
859	180	0.85	1.59632e-005
860	180	0.85	1.58272e-005
861	181	0.85	1.56978e-005
862	181	0.85	1.58828e-005
863	181	0.85	1.5864e-005
864	181	0.85	1.59102e-005
865	181	0.85	1.59122e-005
866	182	0.85	1.58628e-005
867	182	0.85	1.59434e-005
868	182	0.85	1.60179e-005
869	182	0.85	1.58723e-005
